year,person,male,female
2011,85.6,36.29,53.66
2010,50.47,82.88,49.72
2012,2.51,67.35,43.58
1999,50.9,84.91,6.96
1993,6.54,10.47,97.47
1997,64.46,82.18,3.43
2007,4.44,43.73,96.34
2008,94.53,10.72,53.4
2001,6.49,59.19,27.44
2004,60.61,45.69,67.21
1995,53.75,19.24,43.91
2012,97.58,1.69,10.12
2012,71.15,32.69,69.02
1991,2.57,75.02,18.07
2010,95.56,86.84,54.92
2011,4.94,14.57,15.68
1986,63.96,36.57,95.5
1983,34.1,82.32,87.78
2000,27.14,12.89,21.98
1993,9.55,20.09,21.24
1986,38.82,95.61,36.45
2010,80.38,60.01,15.21
2010,6.23,29.72,37.88
2012,28.57,13.16,16.33
1994,50.41,89.26,41.22
2010,51.71,18.92,64.39
1991,10.66,57.04,53.13
1996,91.25,10.92,54.72
2009,91.61,48.14,25.08
1995,67.79,6.81,60.41
